split,image_name,image_path,absolute_path,annotation_path,label,class_name
train,0.png,images\train\0.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\0.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\0.h5,1,positive
train,1.png,images\train\1.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\1.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\1.h5,1,positive
train,10.png,images\train\10.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\10.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\10.h5,1,positive
train,100.png,images\train\100.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\100.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\100.h5,1,positive
train,101.png,images\train\101.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\101.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\101.h5,1,positive
train,102.png,images\train\102.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\102.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\102.h5,1,positive
train,103.png,images\train\103.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\103.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\103.h5,1,positive
train,104.png,images\train\104.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\104.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\104.h5,1,positive
train,105.png,images\train\105.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\105.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\105.h5,1,positive
train,106.png,images\train\106.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\106.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\106.h5,1,positive
train,107.png,images\train\107.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\107.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\107.h5,1,positive
train,108.png,images\train\108.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\108.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\108.h5,1,positive
train,109.png,images\train\109.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\109.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\109.h5,1,positive
train,11.png,images\train\11.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\11.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\11.h5,1,positive
train,110.png,images\train\110.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\110.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\110.h5,1,positive
train,111.png,images\train\111.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\111.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\111.h5,1,positive
train,112.png,images\train\112.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\112.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\112.h5,1,positive
train,113.png,images\train\113.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\113.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\113.h5,1,positive
train,114.png,images\train\114.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\114.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\114.h5,1,positive
train,115.png,images\train\115.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\115.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\115.h5,1,positive
train,116.png,images\train\116.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\116.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\116.h5,1,positive
train,117.png,images\train\117.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\117.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\117.h5,1,positive
train,118.png,images\train\118.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\118.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\118.h5,1,positive
train,119.png,images\train\119.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\119.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\119.h5,1,positive
train,12.png,images\train\12.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\12.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\12.h5,1,positive
train,120.png,images\train\120.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\120.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\120.h5,1,positive
train,121.png,images\train\121.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\121.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\121.h5,1,positive
train,122.png,images\train\122.png,C:\Users\Hp\Downloads\BCData\BCData\images\train\122.png,C:\Users\Hp\Downloads\BCData\BCData\annotations\train\positive\122.h5,1,positive
